Date : 2026-04-14 21:36:38
Directory : /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src
Total : 143 files,  17685 codes, 659 comments, 2865 blanks, all 21209 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/middleware/authenticate.js                               | JavaScript       |         43 |          0 |          7 |         50 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/middleware/rateLimit.js                                  | JavaScript       |         22 |          3 |          6 |         31 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/middleware/requireAdmin.js                               | JavaScript       |         10 |          0 |          4 |         14 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/middleware/requireSubscription.js                        | JavaScript       |         20 |          0 |          6 |         26 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/package.json                                             | JSON             |         33 |          0 |          1 |         34 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/routes/admin.js                                          | JavaScript       |         14 |         23 |          3 |         40 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/routes/analytics.js                                      | JavaScript       |         12 |          0 |          3 |         15 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/routes/auth.js                                           | JavaScript       |         11 |         66 |          7 |         84 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/routes/billing.js                                        | JavaScript       |          6 |         21 |          3 |         30 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/routes/markets.js                                        | JavaScript       |          8 |         11 |          3 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/routes/transactions.js                                   | JavaScript       |          6 |         17 |          3 |         26 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/routes/user.js                                           | JavaScript       |         15 |         49 |          5 |         69 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/routes/wallet.js                                         | JavaScript       |          7 |         29 |          4 |         40 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/services/analyticsService.js                             | JavaScript       |        197 |          0 |         45 |        242 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/services/firebaseAdmin.js                                | JavaScript       |         43 |          0 |          9 |         52 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/services/firebaseAuthSync.js                             | JavaScript       |        169 |          0 |         22 |        191 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/services/firebaseToken.js                                | JavaScript       |         64 |          0 |         15 |         79 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/services/marketsService.js                               | JavaScript       |        170 |          0 |         29 |        199 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/start.sh                                                 | Shell Script     |          5 |          1 |          3 |          9 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/ws/stream.js                                             | JavaScript       |        128 |         29 |         29 |        186 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/Dockerfile                                              | Docker           |          7 |          0 |          4 |         11 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/README.md                                               | Markdown         |        145 |          0 |         38 |        183 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/admin.html                                              | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/admin.js                                                | JavaScript       |        678 |         11 |         73 |        762 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/firebase-client.js                                      | JavaScript       |        287 |          0 |         53 |        340 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/history.html                                            | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/history.js                                              | JavaScript       |        194 |         15 |         26 |        235 |
